date,open,high,low,close,volume
2024-06-03 09:15:00+05:30,23337.9,23338.7,23083.7,23147.2,0
2024-06-03 09:20:00+05:30,23145.6,23161.0,23082.7,23114.9,0
2024-06-03 09:25:00+05:30,23114.3,23142.75,23089.8,23132.95,0
2024-06-03 09:30:00+05:30,23135.6,23155.1,23114.0,23143.2,0
2024-06-03 09:35:00+05:30,23144.8,23163.65,23135.4,23146.5,0
2024-06-03 09:40:00+05:30,23144.2,23157.3,23105.65,23105.7,0
2024-06-03 09:45:00+05:30,23105.8,23126.45,23062.3,23106.45,0
2024-06-03 09:50:00+05:30,23107.5,23128.6,23089.55,23128.1,0
2024-06-03 09:55:00+05:30,23127.7,23169.2,23126.55,23163.15,0
2024-06-03 10:00:00+05:30,23162.2,23190.6,23150.0,23155.5,0
2024-06-03 10:05:00+05:30,23155.7,23180.8,23150.35,23178.6,0
2024-06-03 10:10:00+05:30,23177.75,23203.5,23176.5,23197.1,0
2024-06-03 10:15:00+05:30,23197.1,23199.9,23182.55,23188.95,0
2024-06-03 10:20:00+05:30,23189.15,23198.55,23172.6,23182.35,0
2024-06-03 10:25:00+05:30,23181.95,23203.0,23160.75,23203.0,0
2024-06-03 10:30:00+05:30,23204.15,23207.5,23185.1,23187.45,0
2024-06-03 10:35:00+05:30,23186.55,23187.25,23135.85,23143.6,0
2024-06-03 10:40:00+05:30,23143.55,23160.0,23142.5,23146.2,0
2024-06-03 10:45:00+05:30,23146.25,23160.1,23145.6,23145.6,0
2024-06-03 10:50:00+05:30,23146.55,23166.2,23134.45,23159.85,0
2024-06-03 10:55:00+05:30,23159.85,23161.75,23142.45,23144.4,0
2024-06-03 11:00:00+05:30,23143.6,23157.15,23138.5,23150.95,0
2024-06-03 11:05:00+05:30,23150.6,23162.2,23144.95,23161.4,0
2024-06-03 11:10:00+05:30,23161.0,23175.6,23148.3,23175.3,0
2024-06-03 11:15:00+05:30,23173.9,23186.45,23169.45,23170.55,0
2024-06-03 11:20:00+05:30,23170.3,23189.35,23169.45,23183.7,0
